Subject,Scene,FixationNumber,x,y,Duration,Task
1,practice_6,1,519,386,277,freeviewing
1,practice_6,2,1162,483,183,freeviewing
1,practice_6,3,1129,706,223,freeviewing
1,practice_6,4,1108,645,178,freeviewing
1,practice_6,5,1277,991,262,freeviewing
1,practice_6,6,1319,876,27,freeviewing
1,practice_6,7,1354,855,142,freeviewing
1,practice_6,8,1409,695,202,freeviewing
1,practice_6,9,1410,500,132,freeviewing
1,practice_6,10,1098,790,242,freeviewing
1,practice_6,11,1012,851,210,freeviewing
1,practice_6,12,393,723,148,freeviewing
1,practice_6,13,397,633,226,freeviewing
1,practice_6,14,91,619,206,freeviewing
1,practice_6,15,35,615,213,freeviewing
1,practice_6,16,318,124,195,freeviewing
1,practice_6,17,253,346,66,freeviewing
1,practice_6,18,923,751,271,freeviewing
1,practice_7,1,753,460,176,freeviewing
1,practice_7,2,481,674,223,freeviewing
1,practice_7,3,519,990,90,freeviewing
1,practice_7,4,491,664,167,freeviewing
1,practice_7,5,518,915,200,freeviewing
1,practice_7,6,1386,707,152,freeviewing
1,practice_7,7,1407,654,277,freeviewing
1,practice_7,8,552,642,183,freeviewing
1,practice_7,9,510,652,269,freeviewing
1,practice_7,10,418,664,122,freeviewing
1,practice_7,11,31,904,265,freeviewing
1,practice_7,12,528,951,208,freeviewing
1,practice_2,1,647,731,97,freeviewing
1,practice_2,2,634,446,244,freeviewing
1,practice_2,3,654,114,232,freeviewing
1,practice_2,4,449,354,195,freeviewing
1,practice_2,5,157,403,174,freeviewing
1,practice_2,6,156,281,239,freeviewing
1,practice_2,7,127,227,213,freeviewing
1,practice_2,8,156,362,443,freeviewing
1,practice_2,9,163,432,230,freeviewing
1,practice_2,10,360,1040,196,freeviewing
1,practice_2,11,642,1039,176,freeviewing
1,practice_2,12,1038,764,265,freeviewing
1,practice_2,13,1131,644,183,freeviewing
1,practice_2,14,1205,501,268,freeviewing
1,practice_2,15,1010,770,235,freeviewing
1,practice_2,16,720,435,167,freeviewing
1,practice_2,17,876,104,290,freeviewing
1,practice_9,1,1058,824,216,freeviewing
1,practice_9,2,1117,444,247,freeviewing
1,practice_9,3,1191,288,196,freeviewing
1,practice_9,4,1333,750,156,freeviewing
1,practice_9,5,1401,647,212,freeviewing
1,practice_9,6,1374,902,257,freeviewing
1,practice_9,7,301,440,208,freeviewing
1,practice_9,8,412,857,158,freeviewing
1,practice_9,9,332,819,345,freeviewing
1,practice_9,10,235,787,190,freeviewing
1,practice_9,11,59,708,174,freeviewing
1,practice_9,12,493,665,329,freeviewing
1,practice_9,13,590,577,249,freeviewing
1,practice_9,14,880,645,223,freeviewing
1,practice_9,15,1099,459,266,freeviewing
1,practice_9,16,1013,523,202,freeviewing
1,practice_9,17,792,297,224,freeviewing
1,practice_1,1,277,626,271,freeviewing
1,practice_1,2,127,705,250,freeviewing
1,practice_1,3,173,576,113,freeviewing
1,practice_1,4,60,651,186,freeviewing
1,practice_1,5,141,935,201,freeviewing
1,practice_1,6,655,817,175,freeviewing
1,practice_1,7,961,662,278,freeviewing
1,practice_1,8,804,850,225,freeviewing
